GroupTitle;GroupInformation;Synopsis;PurchaseType
CL_SG_HBO;crid://vtr.tv/CL_SG_HBO;Service Group for LTV : CL_SG_HBO;crid://vtr.tv/CL_LTVProduct_100002
CL_SG_LAPTV;crid://vtr.tv/CL_SG_LAPTV;Service Group for LTV : CL_SG_LAPTV;crid://vtr.tv/CL_LTVProduct_100003
CL_SG_PLAYBOY;crid://vtr.tv/CL_SG_PLAYBOY;Service Group for LTV : CL_SG_PLAYBOY;crid://vtr.tv/CL_LTVProduct_100004
CL_SG_Internacional;crid://vtr.tv/CL_SG_Internacional;Service Group for LTV : CL_SG_Internacional;crid://vtr.tv/CL_LTVProduct_100005
CL_SG_CDF_Premium;crid://vtr.tv/CL_SG_CDF_Premium;Service Group for LTV : CL_SG_CDF_Premium;crid://vtr.tv/CL_LTVProduct_100006
CL_SG_HBO_MAX;crid://vtr.tv/CL_SG_HBO_MAX;Service Group for LTV : CL_SG_HBO_MAX;crid://vtr.tv/CL_LTVProduct_100007
CL_SG_FOX_Sport_Premium;crid://vtr.tv/CL_SG_FOX_Sport_Premium;Service Group for LTV : CL_SG_FOX_Sport_Premium;crid://vtr.tv/CL_LTVProduct_100008
CL_SG_PLAYBOY_HD;crid://vtr.tv/CL_SG_PLAYBOY_HD;Service Group for LTV : CL_SG_PLAYBOY_HD;crid://vtr.tv/CL_LTVProduct_100011
CL_SG_Full_Digital;crid://vtr.tv/CL_SG_Full_Digital;Service Group for LTV : CL_SG_Full_Digital;crid://vtr.tv/CL_LTVProduct_100012
CL_SG_Mi_Pack;crid://vtr.tv/CL_SG_Mi_Pack;Service Group for LTV : CL_SG_Mi_Pack;crid://vtr.tv/CL_LTVProduct_100018
CL_SG_Light_Nacional;crid://vtr.tv/CL_SG_Light_Nacional;Service Group for LTV : CL_SG_Light_Nacional;crid://vtr.tv/CL_LTVProduct_100019
CL_SG_Futbol_HD;crid://vtr.tv/CL_SG_Futbol_HD;Service Group for LTV : CL_SG_Futbol_HD;crid://vtr.tv/CL_LTVProduct_100029
CL_SG_Noticias;crid://vtr.tv/CL_SG_Noticias;Service Group for LTV : CL_SG_Noticias;crid://vtr.tv/CL_LTVProduct_100031
CL_SG_Fox_Sport_HD_Premium;crid://vtr.tv/CL_SG_Fox_Sport_HD_Premium;Service Group for LTV : CL_SG_Fox_Sport_HD_Premium;crid://vtr.tv/CL_LTVProduct_100040
CL_SG_PACK_HD_GRATIS;crid://vtr.tv/CL_SG_PACK_HD_GRATIS;Service Group for LTV : CL_SG_PACK_HD_GRATIS;crid://vtr.tv/CL_LTVProduct_100105
CL_SG_Pack1_HD;crid://vtr.tv/CL_SG_Pack1_HD;Service Group for LTV : CL_SG_Pack1_HD;crid://vtr.tv/CL_LTVProduct_100106
CL_SG_Full_Digital_Comp;crid://vtr.tv/CL_SG_Full_Digital_Comp;Service Group for LTV : CL_SG_Full_Digital_Comp;crid://vtr.tv/CL_LTVProduct_100212
CL_SG_Mi_Pack_Comp;crid://vtr.tv/CL_SG_Mi_Pack_Comp;Service Group for LTV : CL_SG_Mi_Pack_Comp;crid://vtr.tv/CL_LTVProduct_100218
CL_SG_Light_Comp;crid://vtr.tv/CL_SG_Light_Comp;Service Group for LTV : CL_SG_Light_Comp;crid://vtr.tv/CL_LTVProduct_100219
CL_Show_Runner;crid://vtr.tv/CL_Show_Runner;Service Group for LTV : CL_Show_Runner;crid://vtr.tv/CL_LTVProduct_100220
CL_SG_IS_ADULTOS_1;crid://vtr.tv/CL_SG_IS_ADULTOS_1;Service Group for LTV : CL_SG_IS_ADULTOS_1;crid://vtr.tv/CL_LTVProduct_100222
CL_SG_IS_ADULTOS_2;crid://vtr.tv/CL_SG_IS_ADULTOS_2;Service Group for LTV : CL_SG_IS_ADULTOS_2;crid://vtr.tv/CL_LTVProduct_100223
CL_SG_HBO_MAX_OD;crid://vtr.tv/CL_SG_HBO_MAX_OD;Service Group for LTV : CL_SG_HBO_MAX_OD;crid://vtr.tv/CL_LTVProduct_100224
CL_SG_MOVCITY_OD_HD;crid://vtr.tv/CL_SG_MOVCITY_OD_HD;Service Group for LTV : CL_SG_MOVCITY_OD_HD;crid://vtr.tv/CL_LTVProduct_100225
CL_SG_BRASIL_ISUS;crid://vtr.tv/CL_SG_BRASIL_ISUS;Service Group for LTV : CL_SG_BRASIL_ISUS;crid://vtr.tv/CL_LTVProduct_100226
CL_SG_MINIFOX;crid://vtr.tv/CL_SG_MINIFOX;Service Group for LTV : CL_SG_MINIFOX;crid://vtr.tv/CL_LTVProduct_100228
CL_SG_ReplayTV;crid://vtr.tv/CL_SG_ReplayTV;Service Group for LTV : CL_SG_ReplayTV;crid://vtr.tv/CL_LTVProduct_100229
CL_SG_MOVIE_HD;crid://vtr.tv/CL_SG_MOVIE_HD;Service Group for LTV : CL_SG_MOVIE_HD;crid://vtr.tv/CL_LTVProduct_333346
;;;
;;;
;;;
;;;
;;;
;;;