EdsProductId;Package;Synopsis;ProductTitle;PurchaseType;OfferTitle;replayDuration;allowReplayTV;allowStartOver;isVosdal;billingID
100002;100002;Product for lineal channel - Product ID_100002;CL_LTVProduct_100002;crid://vtr.tv/CL_LTVProduct_100002;CL_Offer_100002;;;;;
100003;100003;Product for lineal channel - Product ID_100003;CL_LTVProduct_100003;crid://vtr.tv/CL_LTVProduct_100003;CL_Offer_100003;;;;;
100004;100004;Product for lineal channel - Product ID_100004;CL_LTVProduct_100004;crid://vtr.tv/CL_LTVProduct_100004;CL_Offer_100004;;;;;
100005;100005;Product for lineal channel - Product ID_100005;CL_LTVProduct_100005;crid://vtr.tv/CL_LTVProduct_100005;CL_Offer_100005;;;;;
100006;100006;Product for lineal channel - Product ID_100006;CL_LTVProduct_100006;crid://vtr.tv/CL_LTVProduct_100006;CL_Offer_100006;;;;;
100007;100007;Product for lineal channel - Product ID_100007;CL_LTVProduct_100007;crid://vtr.tv/CL_LTVProduct_100007;CL_Offer_100007;;;;;
100008;100008;Product for lineal channel - Product ID_100008;CL_LTVProduct_100008;crid://vtr.tv/CL_LTVProduct_100008;CL_Offer_100008;;;;;
100011;100011;Product for lineal channel - Product ID_100011;CL_LTVProduct_100011;crid://vtr.tv/CL_LTVProduct_100011;CL_Offer_100011;;;;;
100012;100012;Product for lineal channel - Product ID_100012;CL_LTVProduct_100012;crid://vtr.tv/CL_LTVProduct_100012;CL_Offer_100012;;;;;
100018;100018;Product for lineal channel - Product ID_100018;CL_LTVProduct_100018;crid://vtr.tv/CL_LTVProduct_100018;CL_Offer_100018;;;;;
100019;100019;Product for lineal channel - Product ID_100019;CL_LTVProduct_100019;crid://vtr.tv/CL_LTVProduct_100019;CL_Offer_100019;;;;;
100029;100029;Product for lineal channel - Product ID_100029;CL_LTVProduct_100029;crid://vtr.tv/CL_LTVProduct_100029;CL_Offer_100029;;;;;
100031;100031;Product for lineal channel - Product ID_100031;CL_LTVProduct_100031;crid://vtr.tv/CL_LTVProduct_100031;CL_Offer_100031;;;;;
100040;100040;Product for lineal channel - Product ID_100040;CL_LTVProduct_100040;crid://vtr.tv/CL_LTVProduct_100040;CL_Offer_100040;;;;;
100105;100105;Product for lineal channel - Product ID_100105;CL_LTVProduct_100105;crid://vtr.tv/CL_LTVProduct_100105;CL_Offer_100105;;;;;
100106;100106;Product for lineal channel - Product ID_100106;CL_LTVProduct_100106;crid://vtr.tv/CL_LTVProduct_100106;CL_Offer_100106;;;;;
100212;100212;Product for lineal channel - Product ID_100212;CL_LTVProduct_100212;crid://vtr.tv/CL_LTVProduct_100212;CL_Offer_100212;;;;;
100218;100218;Product for lineal channel - Product ID_100218;CL_LTVProduct_100218;crid://vtr.tv/CL_LTVProduct_100218;CL_Offer_100218;;;;;
100219;100219;Product for lineal channel - Product ID_100219;CL_LTVProduct_100219;crid://vtr.tv/CL_LTVProduct_100219;CL_Offer_100219;;;;;
100220;100220;Product for lineal channel - Product ID_100220;CL_LTVProduct_100220;crid://vtr.tv/CL_LTVProduct_100220;CL_Offer_100220;;;;;
100222;100222;Product for lineal channel - Product ID_100222;CL_LTVProduct_100222;crid://vtr.tv/CL_LTVProduct_100222;CL_Offer_100222;;;;;
100223;100223;Product for lineal channel - Product ID_100223;CL_LTVProduct_100223;crid://vtr.tv/CL_LTVProduct_100223;CL_Offer_100223;;;;;
100224;100224;Product for lineal channel - Product ID_100224;CL_LTVProduct_100224;crid://vtr.tv/CL_LTVProduct_100224;CL_Offer_100224;;;;;
100225;100225;Product for lineal channel - Product ID_100225;CL_LTVProduct_100225;crid://vtr.tv/CL_LTVProduct_100225;CL_Offer_100225;;;;;
100226;100226;Product for lineal channel - Product ID_100226;CL_LTVProduct_100226;crid://vtr.tv/CL_LTVProduct_100226;CL_Offer_100226;;;;;
100228;100228;Product for lineal channel - Product ID_100228;CL_LTVProduct_100228;crid://vtr.tv/CL_LTVProduct_100228;CL_Offer_100228;;;;;
100229;100229;Product for lineal channel - Product ID_100229;CL_LTVProduct_100229;crid://vtr.tv/CL_LTVProduct_100229;CL_Offer_100229;;;;;
164062;164062;Product for lineal channel - Product ID_164062;CL_LTVProduct_164062;crid://vtr.tv/CL_LTVProduct_164062;CL_Offer_164062;;;;;
164063;164063;Product for lineal channel - Product ID_164063;CL_LTVProduct_164063;crid://vtr.tv/CL_LTVProduct_164063;CL_Offer_164063;;;;;
333346;333346;Product for lineal channel - Product ID_333346;CL_LTVProduct_333346;crid://vtr.tv/CL_LTVProduct_333346;CL_Offer_333346;;;;;